Wall time,Step,Value
1560546525.8968868,0,0.4444081783294678
1560546526.5276258,1,0.3420407474040985
1560546527.280204,2,0.30753591656684875
1560546528.0525146,3,0.30378293991088867
1560546528.8018303,4,0.27616503834724426
1560546529.5690267,5,0.26465484499931335
1560546530.3308682,6,0.24588151276111603
1560546530.9083152,7,0.23548579216003418
1560546531.6602836,8,0.2323095202445984
1560546532.2383392,9,0.21843639016151428
1560546532.8214407,10,0.2138906866312027
1560546533.4034336,11,0.19989529252052307
1560546533.9851298,12,0.19428831338882446
1560546534.5635324,13,0.17290431261062622
1560546535.1437483,14,0.16227787733078003
1560546535.7249038,15,0.1583212912082672
1560546536.3002567,16,0.14440836012363434
1560546536.8841732,17,0.13852979242801666
1560546537.5749722,18,0.12636031210422516
1560546538.1588547,19,0.12225978076457977
1560546538.7391968,20,0.11372308433055878
1560546539.3216743,21,0.11073249578475952
1560546539.9103334,22,0.10736492276191711
1560546540.4942899,23,0.10446622967720032
1560546541.0745585,24,0.1019003689289093
1560546541.6587422,25,0.1006183847784996
1560546542.2440264,26,0.09798114001750946
1560546542.823696,27,0.09677185118198395
1560546543.411924,28,0.09850221872329712
